2019-07-01,1,0.00000
2019-07-01,2,0.00000
2019-07-01,3,0.00000
2019-07-01,4,0.00000
2019-07-01,5,0.00000
2019-07-01,6,0.00594
2019-07-01,7,0.17950
2019-07-01,8,0.46865
2019-07-01,9,0.71226
2019-07-01,10,1.25983
2019-07-01,11,1.10484
2019-07-01,12,1.13489
2019-07-01,13,0.90822
2019-07-01,14,1.04141
2019-07-01,15,0.80540
2019-07-01,16,0.75167
2019-07-01,17,0.72671
2019-07-01,18,0.64293
2019-07-01,19,0.30330
2019-07-01,20,0.07494
2019-07-01,21,0.00000
2019-07-01,22,0.00000
2019-07-01,23,0.00000
2019-07-01,24,0.00000
2019-07-02,1,0.00000
2019-07-02,2,0.00000
2019-07-02,3,0.00000
2019-07-02,4,0.00000
2019-07-02,5,0.00000
2019-07-02,6,0.00032
2019-07-02,7,0.20004
2019-07-02,8,0.67359
2019-07-02,9,1.89104
2019-07-02,10,3.58810
2019-07-02,11,3.50725
2019-07-02,12,3.54665
2019-07-02,13,3.71627
2019-07-02,14,3.78815
2019-07-02,15,4.63246
2019-07-02,16,3.49327
2019-07-02,17,3.24048
2019-07-02,18,1.88710
2019-07-02,19,0.96320
2019-07-02,20,0.16803
2019-07-02,21,0.00000
2019-07-02,22,0.00000
2019-07-02,23,0.00000
2019-07-02,24,0.00000
2019-07-03,1,0.00000
2019-07-03,2,0.00000
2019-07-03,3,0.00000
2019-07-03,4,0.00000
2019-07-03,5,0.00000
2019-07-03,6,0.00738
2019-07-03,7,0.24625
2019-07-03,8,0.82875
2019-07-03,9,0.92171
2019-07-03,10,2.88392
2019-07-03,11,3.43777
2019-07-03,12,3.94572
2019-07-03,13,3.41509
2019-07-03,14,3.26802
2019-07-03,15,2.21293
2019-07-03,16,2.70759
2019-07-03,17,2.30309
2019-07-03,18,1.92173
2019-07-03,19,0.74559
2019-07-03,20,0.09550
2019-07-03,21,0.00000
2019-07-03,22,0.00000
2019-07-03,23,0.00000
2019-07-03,24,0.00000
2019-07-04,1,0.00000
2019-07-04,2,0.00000
2019-07-04,3,0.00000
2019-07-04,4,0.00000
2019-07-04,5,0.00000
2019-07-04,6,0.01092
2019-07-04,7,0.39570
2019-07-04,8,1.41502
2019-07-04,9,2.85423
2019-07-04,10,4.22787
2019-07-04,11,4.83215
2019-07-04,12,4.79257
2019-07-04,13,5.36584
2019-07-04,14,5.50539
2019-07-04,15,5.15593
2019-07-04,16,4.34348
2019-07-04,17,3.09179
2019-07-04,18,1.72863
2019-07-04,19,0.62189
2019-07-04,20,0.05839
2019-07-04,21,0.00000
2019-07-04,22,0.00000
2019-07-04,23,0.00000
2019-07-04,24,0.00000
2019-07-05,1,0.00000
2019-07-05,2,0.00000
2019-07-05,3,0.00000
2019-07-05,4,0.00000
2019-07-05,5,0.00000
2019-07-05,6,0.02144
2019-07-05,7,0.41686
2019-07-05,8,1.06113
2019-07-05,9,1.88196
2019-07-05,10,2.61853
2019-07-05,11,2.69939
2019-07-05,12,3.30551
2019-07-05,13,4.96837
2019-07-05,14,4.19253
2019-07-05,15,4.85048
2019-07-05,16,4.36969
2019-07-05,17,3.22908
2019-07-05,18,1.82825
2019-07-05,19,0.62623
2019-07-05,20,0.08490
2019-07-05,21,0.00000
2019-07-05,22,0.00000
2019-07-05,23,0.00000
2019-07-05,24,0.00000
2019-07-06,1,0.00000
2019-07-06,2,0.00000
2019-07-06,3,0.00000
2019-07-06,4,0.00000
2019-07-06,5,0.00000
2019-07-06,6,0.02144
2019-07-06,7,0.35675
2019-07-06,8,1.33436
2019-07-06,9,2.78964
2019-07-06,10,4.02869
2019-07-06,11,4.96058
2019-07-06,12,5.49413
2019-07-06,13,5.80406
2019-07-06,14,5.65749
2019-07-06,15,5.20520
2019-07-06,16,4.46809
2019-07-06,17,3.31760
2019-07-06,18,1.89237
2019-07-06,19,0.59242
2019-07-06,20,0.05911
2019-07-06,21,0.00000
2019-07-06,22,0.00000
2019-07-06,23,0.00000
2019-07-06,24,0.00000
2019-07-07,1,0.00000
2019-07-07,2,0.00000
2019-07-07,3,0.00000
2019-07-07,4,0.00000
2019-07-07,5,0.00000
2019-07-07,6,0.00562
2019-07-07,7,0.17638
2019-07-07,8,1.19522
2019-07-07,9,2.69106
2019-07-07,10,3.94429
2019-07-07,11,5.03488
